,text
15,"confidentiality is maintained no judgment, criticism and assumptions you can unburden yourself Counsellors will… respect you and your problems will help you to consider the different options and make choices surely will make an attempt to reduce the problem"
16,"will intervene with right people to help you if required  Appointments are available from 10.30 am to 5.30 pm Monday-Friday and students are usually seen for 45 minutes, depending on demand.  Students can take an appointment by vising the following link: https://www.iitb.ac.in/swc/en/user/login?destination=node/1183 "
17,"Intake appointments are scheduled with students at times and dates which are convenient to them, depending on their academic commitments. In either case, the goal of the first meeting is to help the student identify the issues that are causing them the most concern."
18,"If a student wishes to continue in counselling, he/she usually continues to meet with the same counsellor seen in intake or Walk-In. 2. Psychological Assessment In some cases where more precise diagnoses are required, we conduct psychological assessments. These tests are administered by a trained psychometrician. These tests help all those who are concerned with the student’s wellbeing to decide upon the best possible intervention."
19,"3. Workshops and Events The Wellness centre also organizes different workshops and events during each academic year. The workshops and events are organized on different topics related to mental health and are based on the need of the students like dealing with stress, time management, relationship issues etc."
20,"The team organizes various events on occasions like Mental Health Day, International Happiness Day and World Suicide Prevention Day. Team Counselors (Full Time) 	 Ms. Hima Anaredy In-charge Student Wellness Centre Counseling Psychologist"
21,Email : incharge.swc@iitb.ac.in               hima.anaredy@iitb.ac.in Phone : 022-2576-9071   	  Ms. Anjali Bhatia Student Counselor Social Psychologist Email : anjali.bhatia@iitb.ac.in Phone : 022-2576-9073   	  Ms. Anisha Mathews Student Counselor Clinical Psychologist Email : anishamathews@iitb.ac.in Phone : 022-2576-9075
22,  	  Ms. Lavina Lewis Student Counselor Clinical Psychologist Email : lavina.lewis@iitb.ac.in Phone : 022-2576-9074   	  Mr. Shoukath Ali Student Counselor Counseling Psychologist Email : shoukath@iitb.ac.in Phone : 022-2576-9070   	 Ms. Anjali Gadgeel Student Counselor
23,Clinical Psychologist Email : anjali.gadgeel@iitb.ac.in Phone : 022-2576-9076        Support (Part Time)                  	 Ms. Amita Tagare Officer on Special Duty Clinical Psychologist Email : amita.tagare@iitb.ac.in Phone : 022-2576-7071   	 Ms. Aditi Vaze Psychometrician Clinical Psychologist
24,Email : aditivaze@iitb.ac.in Phone : 022-2576-9070 Office Staff 	 Mr. Chandrakant Karvande Office Staff Email : office.swc@iitb.ac.in Phone : 022-2576-9070 	 Ms. Pinky Bhagadia Office Staff Email : office.swc@iitb.ac.in Phone : 022-2576-9070 For 1st Counselling Appointment:
25,"Go to site Menu -> Appointment: (https://www.iitb.ac.in/swc/en/appointment)  If the link is not working then you can email us at wellness@iitb.ac.in   Centre Address And Timings: Student Wellness Centre, 3 rd floor, above Academic section, Main building"
26,Days: Monday to Friday Timings: 10.00am - 5.30pm Contact Number: 022-2576-9070 Office email id:  office.swc@iitb.ac.in   For Administrative And Other Official Purposes (excluding appointments for counselling): Email id: incharge.swc@iitb.ac.in  
27,"Single Sign-on (SSO) Service The Computer Centre has released services based on Single Sign-on based authentication. CC's SSO supports Oauth2, OpenID Connect, and SAML2 based authorization. This will enable us to make our authentication process more robust, secure, and universal for all applications across IITB. "
28,"Why is it necessary?  SSO with OAuth/SAML/OpenID is very secure compared to LDAP since it offers multi-factor authentication and a fully encrypted protocol. It also has a single point of trust for the end-user, so even if one application is compromised, the security of your application is not threatened. These protocols are very widely deployed by all major companies, including Google, Facebook, Microsoft, and Apple. Nowadays It is an internet standard. "
29,"In today's IT-driven world, multi-factor authentication is very much necessary. This will considerably slow down hacking activities because of compromised LDAP accounts and eventually help end-users and system administrators since most of these accounts get compromised because of simple credentials, sharing of credentials with colleagues, sharing of credentials to a malicious site, or response to a phishing email. "
30,"How do I use SSO based authentication for the application I am developing?   Anyone who wants to use SSO for the authentication, The application needs to register with CC. For more detailed information, kindly download this documentation. "
31,"What is 2-Factor Authentication, and why is it mandatory? Two-factor authentication adds a second layer of security to your online accounts. Verifying your identity using a second factor (like your phone or another mobile device) prevents anyone but you from logging in, even if they know your password. Once you've enrolled in Google/Microsoft authenticator app or SMS based OTP, you're ready to go: You'll login as usual with your username and password, and then use your device to verify that it's you. "
32,Supported methods for 2-Factor authentication Two-Factor Authentication for CC's SSO Login is designed to work with your existing devices and network connections. We support the following devices/methods:    * Time-based OTP – based on FREE apps like Google/Microsoft authenticator   * SMS text messages via a cell phone (Only for Faculty and Institute staff members)   * Passwordless authentication using IITB SSO app (For Android and iOS platform.)   * Security key / Hardware token-based (Key/token must support WebAuthn standard and FIDO2 compliant.)   * Touch ID (For mac users) based or Windows Hello based. 
33,"The Mobile apps are free and downloadable from your cell phone's app store (e.g., iTunes or Google Play). Standard data or phone charges may apply when using, SMS text, and/or passwordless authentication. To obtain a hardware token/key for your account, users are free to purchase on their own. Please make sure the token/key is compatible with FIDO2 standards. "
34,   Details about registration and FAQ's about SSO can be found at below link. Link : [SSO Registration & FAQ's](/page/sso-guide)  Licensed / Commercial software at Computer Centre FOSSEE Equivalents to the technical Softwares are listed in this [link](/page/fossee). 
35,"The following are some of the commercial licensed software the Computer Centre has acquired.The software along with relevant information for installation can be found on the anonymous ftp site http://ftp.iitb.ac.in/IITB_private/  If you have any difficulty in accessing the software or queries regarding the same , you may post/report it via the ""[Report a problem](https://help- cc.iitb.ac.in/)"" link. "
36,(Please disable any kind of firewall on your client computers before accessing the network license servers for running / using the licensed softwares).  IITB Mailing lists are available for few software user groups. Please check <http://lists.iitb.ac.in/mailman/listinfo>. 
37,More information regarding procurement and support details are listed in this [link](/page/softwareprocurement).  Name| Open source Equivalent| Version| No. of Licenses| Type of License| Nature of License| AMC Availability| Cost (INR)| More Information   ---|---|---|---|---|---|---|---|---     
38,"Name  |  Open source Equivalent  |  Version  |  No. of Licenses  |  Type of License  |  Nature of License  |  AMC Availability  |  Cost (INR)  |  More Information      ---|---|---|---|---|---|---|---|---   **Abaqus Academic Research Edition** |  | 6.14 | 5 | CFN | Jan 31, 2032 | Aug 21, 2018 | **₹ 10,27,000** |  Inadequate No.of licenses   [Download Link](http://ftp.iitb.ac.in/ftp/IITB_private/Abaqus/)   **Ansys with TECS** | GMSH, OpenFOAM | 2020 R2 | A few with 5 research | CFN | - | March 31, 2016 | **~ ₹ 90,00,000** |  Inadequate No.of licenses   [Download Link](http://ftp.iitb.ac.in/ftp/IITB_private/Ansys/)   **AVG Antivirus** |  |  | 10,000 | Single Key | Subscription | July 25, 2020 | **~ ₹ 14,00,000** |  [Download Link](https://camp.iitb.ac.in/avg4allFacsAndStfs/avglogin.html)   **AUTOCAD** | KiCad, FreeCad | 2013 | 10 | CFN | Perpetual | Oct 2014, No AMC | ****|  Inadequate No.of licenses   [Download Link](http://ftp.iitb.ac.in/ftp/IITB_private/AutoCAD-2013/)   **COMSOL** | OpenModelica | 55 | 30 | CKL | Perpetual | May 30, 2020 | **₹ 13,00,000** |  Class Room Use   [Download Link](http://ftp.iitb.ac.in/ftp/IITB_private/COMSOL/)   **ESCApe** |  |  |  |  |  |  | **₹ 6,29,763** |  By MEMS   [Download Link](http://ftp.iitb.ac.in/ftp/IITB_private/ESCApe/)   **Gaussian 16** |  |  |  | Site License |  |  | **₹ 8,26,274** | **Contact Computer Centre**   **IBM SPSS** | R, PSPP | 25 | 10 | CFN | Jan 31, 2032 | Sep 30, 2020 | **₹ 9,41,550** |  [Download Link](http://ftp.iitb.ac.in/ftp/IITB_private/SPSS/)   **IBM SPSS Amos** |  | 25 | 5 | CFN | Jan 31, 2032 | Sep 30, 2020 | **₹ 2,63,785** | [Download Link](http://ftp.iitb.ac.in/ftp/IITB_private/SPSS/AMOS25/)   **Intel Compilers C++ and Fortran** | GNU Compilers | 2018 | 5 | CFN | Perpetual | Jun 30, 2019 | **₹ 8,35,775** |  [Download Link](http://ftp.iitb.ac.in/ftp/IITB_private/Intel-compilers/)   **Maple** | Sage, Maxima | 2018 | 101 | CFN | Perpetual | June 30, 2019 | **₹ 8,35,775** |  [Download Link](http://ftp.iitb.ac.in/ftp/IITB_private/Maple/)   **Mathematica** | Sage, Maxima | 12.1.0 | 30 | CFN | Perpetual | Jul 12, 2020 | **₹ 16,70,000** |  [Download Link](http://ftp.iitb.ac.in/ftp/IITB_private/Mathematica/)   **Matlab** | Octave, Scilab | R2020a | Unlimited | TAH & CFN | Subscription | Mar 30, 2021 | **₹ 66,70,569** |  [Download Link](http://ftp.iitb.ac.in/ftp/IITB_private/Matlab/)   [Campus Wide TAH Link](https://www.mathworks.com/academia/tah-portal/indian- institute-of-technology-bombay-40677001.html)   **Microsoft Campus** | Linux | Latest | - | Inst. Email | Subscription | Sep, 2020 | **~ ₹ 4,50,000** |  Contact Computer Centre   **OriginLab** | GNUPlot, Grace | 2020 | 100 | CFN | Perpetual | Jul 12, 2020 | **~ ₹ 99,876** |  AMC Cost.   [Download Link](http://ftp.iitb.ac.in/ftp/IITB_private/OriginLab/)   **PLECS** |  | 4.3 | 50 | CFN | 3 year | Oct 31, 2021 | ****|  By ESE   [Download Link](http://ftp.iitb.ac.in/ftp/IITB_private/PLECS/)   **SOLIDWORKS** |  | 27 | 2000 | CFN | Perpetual |  | ****|  By ME   [Download Link](http://ftp.iitb.ac.in/ftp/IITB_private/SolidWorks/)   **TECPLOT-360** |  | 2007 | 10 | CFN | Perpetual | 2008 | ****|  [Download Link](http://ftp.iitb.ac.in/ftp/IITB_private/Tecplot/)   **TECPLOT-360** |  | 2017 | 5 | CFN | Perpetual | May 15, 2018 | **~ ₹ 10,00,000** |  Denials   [Download Link](http://ftp.iitb.ac.in/ftp/IITB_private/Tecplot/)   **Webex** | BBB, Jitsi |  | 4 | Individual | Subscription | Mar 18, 2021 | **~ ₹ 2,49,500** |  **Contact Computer Centre**   **ZOOM** | BBB, Jitsi |  | 20 | Individual | Subscription | Apr 12, 2021 | **~ ₹ 1,35,000** |  **Contact Computer Centre**     "
39,"   ANSYS Does not allow the use of the Concurrent Floating Network (CFN) license server through IIT VPN.  MathWorks for use of Matlab   * Does not allow the use of the concurrent floating network (CFN) licenses from the license server through IITB VPN.   * Instead they allow the use of Matlab Individual License, and Matlab Online (Cloud Services) from the TAH (Total Academic Headcount) campus wide agreement.   * The TAH of MathWorks can be accessed by registering user@iitb.ac.in on the portal.   * There are 3637 users on the MathWork’s TAH portal for IIT Bombay. (Dated : 4 Jun 2020) "
40,Microsoft Products  Microsoft Products (for everyone having valid LDAP id)**  Note: MS Academic Azure for Education is for everyone having a valid LDAP Id.  Please read the following file before downloading any software. Your LDAP account has to be linked with microsoft in order to download any software. 
41,Link: [Registering LDAP with Microsoft and Downloading microsoft Products](/attachments/microsoft/ReadMe.pdf)      Microsoft Azure for Education : [Microsoft Azure for Education](https://azureforeducation.microsoft.com/devtools)  Important: **Please register your LDAP Id with microsoft before accessing the portal.  Microsoft Volume License Products (For Faculties) 
42,"Only a limited numbers of licensed copies of Windows 7, 8, 10.1, MS Office, MS Office 2016, MS Office 2019 are available for the Institute for academic use.  The software is available for download and use by faculty on PCs in offices and laboratories. "
43,Use LDAP login below to download **(only for faculty)  [Windows 7 Volume License](https://camp.iitb.ac.in/windows_7/win7login.html)   [Windows 8.1 Volume License](https://camp.iitb.ac.in/windows_8.1/win8.1login.html)   [Windows 10 Volume License](https://camp.iitb.ac.in/windows_10/win10login.html)   [MS Office](https://camp.iitb.ac.in/msoffice/msofficelogin.html)   [MS Office 2016](https://camp.iitb.ac.in/msoffice2016/msoffice2016login.html)   [MS Office 2019](https://camp.iitb.ac.in/msoffice2019/msoffice2019login.html)      Note: Please contact faculty/section in charge for this software 
44,"AVG Antivirus for Faculty, Staff, Project Staff & Students  AVG Antivirus for Faculty ,Staff, Project Staff & Students    1. Only a limited number of licensed copies of AVG Antivirus (Network Edition) have been procured by the Institute for 'Academic' use only.   2. The software is available for download and use by faculty, staff, project staff and students on their PCs/Laptops in offices, classrooms and laboratories.   3. Use LDAP login below to download (only for faculty, staff, project staff and students).   [Download Link (Faculty & Office Staff)](https://camp.iitb.ac.in/avg4allFacsAndStfs/avglogin.html)   [Download Link (Students & Project Staff)](https://camp.iitb.ac.in/avg4allStudents/avglogin.html) "
45,"Note: AVG Antivirus for Students and Project Staff is under renewal. You may not be able to activate the software during the renewal process timespan but once the process is over, the following note will be updated and you can use the above link to download the antivirus. "
46,"  4. All other users may download “free for personal use” packs from <https://www.avg.com>, if you wish to use AVG Antivirus.   5. Other useful Antivirus Softwares sites are mentioned below:      * Avast : <https://www.avast.com>     * Norton : <https://www.symantec.com>     * Mcafee : <https://www.mcafee.com> "
47,"   Note: Computer Centre has no expertise in above procured softwares. However, you may write/report your issues to your department systems administrator(s) for a possible resolution. In the event of they (department systems administrator(s)) being unable to do so, they (department systems administrator(s)) may request for support at the Computer Centre's Help Desk, and we shall try to put on our sincere efforts to resolve them as soon as possible. "
48,#### Computing Facilities     Following are the high performance computational facilities available at IIT Bombay    * **Corona Linux Cluster** High Performance Computing (HPC) resource in IIT Bombay located in Chemistry Department   * [Spacetime](https://spacetime.iitb.ac.in/) High Performance Computing (HPC) resource in IIT Bombay located in Computer Science and Engineering 
49,"Bits and Bytes Lab Booking    * The Bits lab (with 50 machines) was designed especially for workshops and has all PCs facing one way, with no partitions.   * The Bytes lab (60 machines) was designed for student study usage, or exams, and has rows with PCs facing in alternating directions, with partitions in the middle.   * All the machines have Windows 10 and Ubuntu 18 operating systems installed. "
50,"**Lab Timings**   Monday - Friday : 9:30 AM - 5:30 PM   Note: Lab will be closed on Saturday,Sunday,Institute & National Holidays.      Please read the policies carefully before booking the lab.  [Bits and Bytes Lab Booking Policy](/page/bitsbytespolicy)   [Bits and Bytes Lab Booking Portal](https://cc-mrbs.iitb.ac.in/Web/) "
51,"#### Video Conference Room Booking       * Computer Centre’s Conference room has been built for the purpose of bookings for events such as video conferencing meeting, seminars, Interviews, multimedia presentations etc.   * The room can accommodate 20 individuals around the table.   * The room is equipped with a 4k television and high definition laser projector, and a conference speakerphone with mic.   * The VC system supports Skype, Hangout, Webex (Cisco) and also supporting H.323 protocol ( direct VC to VC commutation). "
52,Please read the policies carefully before booking the room.  [Video Conference Room Booking Policy](/page/vcroompolicy)   [Video Conference Room Booking Portal](https://cc-mrbs.iitb.ac.in/Web/)  #### Accessing IITB from Outside - VPN / SSH / Telnet     Computer Centre at IITB offers VPN connection in order to access the internal sites and SSH/Telnet to access servers 
53,Only 100 Simultaneous VPN connections are allowed in bridge mode( Desktop/Laptop devices) and 200 VPN connections are allowed in routing mode(Handheld Devices) due to security reasons.  Total 300 VPN connections are allowed at a time in both modes. 
54,"Facility is provided to connect to IIT servers (one per department) from outside IIT using telnet and ssh.  Tutorials for using vpn, ssh and telnet have been provided in the following links. "
55,[Using VPN](/page/configurevpn)   [Using SSH/Telnet](/page/configuressh)  #### FTP Server Portal     In the FTP server portal of iitb certain freewares are kept. Repositories for linux and other OS are also available  FTP can be accessed using the following [link](http://ftp.iitb.ac.in/ftp/) 
56,"**Uploading to FTP Server**  Connect to ftp server with the details :  Server Name: ftp.iitb.ac.in  LoginName: upload  Password: upload  Create a directory with your username and please upload the useful things with the help of ""mput"" in that directory. Please also make one README file with small description. You have restricted premissions to upload. The useful stuff will be moved to ftp.iitb.ac.in "
57,"For mirror distributions on FTP Server, refer the following [link](/page/ftpmirrordistributions)  #### LDAP Account     Every student/staff will get an LDAP account, when (s)he joins IITB. Using this, (s)he can browse the internet (using this userid for authentication on IITB proxy server netmon.iitb.ac.in). The user will also get a mail account ( userid@iitb.ac.in). The user can also log into the machines in CC user area using the same userid. NETMON proxy access and user-area login will expire the moment (s)he completes his/her study at IITB. The email address may be retained as a forwarding address to an external address of the user's choice. "
58,The following things will be available in [CAMP Website](https://camp.iitb.ac.in/cgi-bin/index.cgi)    * Changing Password   * Changing UserID (Only Once)   * Modifying Personal Details   * Set / Reset mail Auto Reply Text   * Set / Reset mail Forwarding Address   * Department Sys-Ads List   * Hostel Sys-Ads List   * Find your UserID from Roll number / Employee Number 
59,The following can change mail forwarding address ([Link](/page/mailforwarding))    * Passing-out students   * Retired employees   * Alumni  #### Guest Account Creation     Guests and Visitors to IIT Bombay require a special user account to access the internet through the IITB Network. There are two kinds of guest accounts: 
60,"  1. Regular Guests (who get individual user IDs and passwords)   2. Conference Participants (who get a common user ID and a password)  The guest accounts can be created only by IITB faculty members, who agree to the IITB IT Usage policy on behalf of their guests. "
61,"Please visit [camp.iitb.ac.in](https://camp.iitb.ac.in/) and login to LDAP to create the account.  Procedure for creating a guest account    1. Please enter the LDAP credentials in the new window after clicking the above link.   2. Please select a suitable addition (only faculty will be able to add)      * Add a New Guest Account, or     * Add a New Conference Account   3. Fill in the guest details, and choose an appropriate expiry date for the account (or the end of the conference).   4. An email will be sent to the Webmail inbox of the faculty, containing the user-id and password of the new account. The password cannot be changed by the faculty or the guest.  "
62,"The user ID and password has to be used for authentication while connecting to the wireless network, as well as to connect to the internet using the wired network.  #### Home Account Creation "
63,"   Faculty and Staff at IIT Bombay, who agree to the IITB IT Usage policy, can create a special user account for their family members to access the internet through the IITB Network. "
64,"Please visit [camp.iitb.ac.in](https://camp.iitb.ac.in/) and login to LDAP to create the account.  Procedure for creating a home account    1. Please enter the LDAP credentials in the new window after clicking the above link.   2. Please select a suitable addition (only faculty and staff will be able to add)      * Add a New home Account   3. Fill in the details, and choose an appropriate password for the home account.   4. The login-id for the newly created home account will be **""[Your LDAP ID].home""**. For eg: If your ldap id is **abcdef** then your home account id will be **abcdef.home**   5. An email will be sent to your inbox ( **""ldapid[at]iitb.ac.in""** ), containing the user-id and password of the new account.  "
65,"Family members of faculty and staff have to use **Home ID** and **password** for authentication while connecting to the wireless network, as well as to connect to the internet using the wired network. "
66,#### Mail Facilities     #####  Features of the WEBMAIL services at IITB  ![](/assets/icons/Plus.svg)  This service enables you to access your mailbox from anywhere (inside or outside IITB) via the Internet. The current access is via SQUIRRELMAIL software with some local modifications. The interface may be changed or additional ones may be supported in future subject to resource constraints at CC. The details for different user categories are shown below: 
67,"User Category| URL| Mailbox Size Limit   ---|---|---      User Category  |  URL  |  Mailbox Size Limit      ---|---|---   All | <https://webmail-sso.iitb.ac.in>   <https://webmail.iitb.ac.in> | {Specific to user role (student,faculty etc) }         The mailbox space limit shown above may change either way depending on resource availability. Your current diskspace occupation level is always displayed when you login. Please take care to purge unwanted messages from time to time. The actual disk space usage will depend on the type of messages you exchange but a thumb rule would be not to exceed the occupation level of 75% so that your incoming mails are not interrupted. Please note that currently no facility exists at CC to take backups of users' mailboxes. This means that the mails deleted will not be possible to recover. Users may please make alternate arrangements to keep backups of their important messages. "
68,"Printing of emails is not supported. However, the mails can be downloaded to your local PC for printing elsewhere.  The webmail service provides the choice of either normal HTTP logins or secure logins by using SSL. It uses the same password as the netmon proxy authentication password. It may so happen that those of you who get locked out (for whatever reasons) at netmon proxy may also face problems in email too. "
69,"For those who do not use netmon proxy, a separate password would have to be assigned. Eventually all users in IITB will be automatically registered in the LDAP database even if they do not use the NETMON PROXY services for web browsing. "
70,"Within IITB campus the service can also be accessed via NETSCAPE, Kmail, Pine, Evolution, OUTLOOK EXPRESS etc using IMAP. Support for IMAP over SSL has been added recently. However, it may be noted that IMAP based services are not available from outside IITB. "
71,Hope you find this service useful to you. In case you face any problems please register your issue at [help-cc.iitb.ac.in](https://help-cc.iitb.ac.in).  #####  SPAM Protection  ![](/assets/icons/Plus.svg)  **SPF (Sender Policy Framework): What is this about ???** 
72,"Mails arriving from a domain (e.g. sony.com) are checked to verify to see if they really originated from that domain. Under the SPF scheme, each domain enumerates the IP addresses though which all mails from that domain will be injected into the Internet. When the mails arrive at our mail relays, the arriving IPs are checked against the domain-designated IPs thus verifying its authenticity. "
73,"SPF deployment now a preferred way of handling incoming Emails. The deployment of this scheme have ensured very low-level of SPAM because many SPAMMERs use fictitious IP email addresses. However, like many other schemes in Internet, this is voluntary. Accordingly, emails originating from domains that have not yet adopted SPF are still being accepted at IITB. However, there are many domains who claim to support SPF but have done partial/faulty implementations. In such cases, there is a small chance that an email may not be accepted into IITB network because the originating site has an improper implementation of SPF. "
74,"For more info on SPF, please [click here](http://www.openspf.org/)  #####  FAQ Web based central email service  ![](/assets/icons/Plus.svg)  **Q. When I send mail to username[at]webmail.iitb.ac.in (username represents my friend's userid) they dont reach. What is wrong ?** "
75,"The webmail service of IITB is available at <https://webmail-sso.iitb.ac.in> and <https://webmail.iitb.ac.in>. However, it is not a legal email address. The correct email address of your friend is username[at]iitb.ac.in.  **Q. How do I setup pine to read my webmail mails ?** "
76,"To set up pine to use central MAILBOXes at imap.iitb.ac.in as your mail repository do the following :    1. Go to setup->configure   2. set smtp server as **smtp-auth.iitb.ac.in/tls/user=xxx (xxx is your LDAP id)**   3. **inbox-path: {imap.iitb.ac.in/ssl/novalidate-cert}**   4. now exit setup.   5. Now you should be able to access the Webmail mailboxes, make folders on webmail IMAP server etc. "
77,"If you are using Webmail mailboxes from any computer, all the outgoing emails would have the ID as yourloginname[at]iitb.ac.in. For example, if you set the pine at venus.che.iitb.ac.in to check your mails at webmail and you have login-name 'hemantrm' on venus.che but the login-name 'hemant' at Webmail, then all the mails would go as hemantrm[at]iitb.ac.in. "
78,"To change this do the following:-pine -> Setup -> Config -> Customized headers (it's somewhere at the end).  There, press enter and write the following -  From: your-username-at-webmail[at]iitb.ac.in  and save and exit pine. Now all the mails would go as hemant[at]iitb.ac.in even if I have login-name hemantrm at the server from where the pine is configured to check mails at Webmail. "
79,"**Q. How much is the allotted mail storage quota?**  The server space that has been allotted as of now is as follows:-   Students - 1000MB.  **Q. How do I configure outlook express, eudora, kmail or evolution mail for my MAILBOX on centralized EMAIL servers ?** "
80,These EMAIL AGENTs require two key configurations:  (a) Access to mails received: The mails received for you are located on the centralized IMAP server of IIT Bombay named **imap.iitb.ac.in**.  (b) Server which will accept your outgoing mails: Use **smtp- auth.iitb.ac.in**. Please enable AUTHENTICATION and TLS. You would require LDAP id and password to send mail via this server. For more information click [here](/page/configurewebmail). 
81,"**Q. Why do I receive warning mails regarding virus mails in the attachments from mail server even if I have not sent that mail?**  It is very easy to fake 'From' address in an email. If the mail server finds any infected attachement in the mail, it sends the warning to the 'From' address. In many cases the infected machine which is sending such fake mails might use your mail address in the 'From' field. Hence YOU will get a warning from the mail server regarding the infected mail. "
82,#####  FAQs Spam Mail  ![](/assets/icons/Plus.svg)  **Q. What is SPAM?**  Spam is a type of email. Spam usually takes the form of advertising or promotional material that arrives in your emailbox without you having requested it. 
83,"**Q. What can you do if you receive SPAM?**  You can filter the SPAM mail to a seperate folder based on the subject header. You can also choose to delete the mail with the subject 'SPAM' in it. However, sometimes a 'good' mail also gets marked as SPAM. So it may be a good idea to filter it in a seperate folder and then delete it selectively. "
84,"**Q. How to filter SPAM mails?**  The program that you use to read your mail is known as a mail user agent (MUA). There are options available with all the MUA's (ex:- pine, mutt) to set filters. You need to use these options to set up filter which will filter the mail based on the 'subject' in the email. The SPAM mails will have the word SPAM in the subject. If you are using Pine to read your mail the procedure is specified in the next answer. "
85,"Q. How to filter SPAM mails with Pine. In Pine go to setup. Then press R for Rules, It will ask a question ""Type of rule setup :"" Choose F for Filters. Then press A to add the rule. Go to subject pattern. Press A to add the value. Set Subject pattern to SPAM. Then go to Filter Action and specify the folder name where you want the SPAM mail to go. Then press E to exit setup. Press Y to commit changes. "
86,"Q. How to filter SPAM mails under Webmail ? The steps to filter SPAM into a separate folder are :   Log into Webmail. Create a separate folder. (For sake of illustration, let us call it SPAMfolder.) Click on the link ""Options"".Once you are in the Options page, choose ""Message Filters"".Inside the Message Filters menu, one can create a new filter withspecifications as below:     1. Match on ""Subject""   2. Choose Subject Line to contain *****SPAM****   3. Choose a folder where the SPAM will be moved (i.e. ""Move to folder"")   4. Save the filter just created. After this, all SPAM will go into the selected ""SPAMfolder"". SPAM mails will be auto-deleted if Trash is chosen as the ""Move To"" folder (i.e. Trash instead of SPAMfolder). "
87,"The ownCloud file hosting facility The ownCloud server is up and running for users. ownCloud is a free and open source software. The Bighome facility is made accessible through the browser. ownCloud is similar to Dropbox in essence, users can now back up files on their Bighome storage space itself. Maximum 2Gb of cloud storage is available per user. Synchronization applications are also available. For managing your ownCloud account, setting up synchronisation and using the Android app for the same. Click [Here](/page/bighometutorials) "
88,"Netmon Configuration of Netmon proxy can be found [here](/page/configurenetmonproxy)  Netmon FAQ's    Q. What is Netmon IP Blocking? To protect our netmon proxy from bombarding from various portions of our network, we have implemented a scheme in which the IP address remains blocked for 2 hours, once found bombarding netmon proxy. After end of 2 hours, if it is still found bombarding, then it is again blocked for 2 hours and this continues recursively. "
89,Q. Is my IP blocked at the Router? First you need to find out whether your IP is blocked at the router or there is some local problem. If you can ping other computers in your hostel but you cannot ping/telnet/ssh to your department server or other machine outside your router then your machine IP is blocked at the router. Else there is some local problem. 
90,"Q. What can I do if my IP is blocked at the router? Contact your hostel sysad/comp secy to solve the problem. This may be due to no mac entry of your lan card in router or some physical cable/jack problem. If you temprorarily need to access department, you can use your hostel computer room. If it is not resolved you can also take assistance from CC by lodging a complaint using [complaint form](https://help-cc.iitb.ac.in) "
